event_id,time,space,variable,speed,acc,duration
910,13,0.022,Brake,25.183334,0.43167984,14
910,18,0.824,Brake,6.9200006,0.3776349,2
910,19,0.404,Acceleration,6.4452453,0.30764326,4
910,19,0.377,Acceleration,11.673334,0.43269968,9
910,19,1.136,Acceleration,11.049419,0.2680575,6
910,19,2.639,Acceleration,32.423332,0.24983035,18
910,21,2.094,Acceleration,30.879227,0.25647122,18
910,21,0.535,Acceleration,11.9967785,0.37874532,8
910,21,1.873,Acceleration,28.100151,0.29326275,18
910,21,0.288,Brake,10.943334,0.3293683,11
910,22,0.835,Brake,5.1330037,0.48533577,14
910,22,0.535,Brake,7.40874,0.33792463,14
910,22,2.127,Brake,24.7674,0.21582672,6
910,22,0.287,Brake,14.436371,0.4572254,14
910,23,0.052,Acceleration,10.417752,0.32593462,8
910,23,0.25,Brake,15.920524,0.65577394,7
910,23,0.289,Acceleration,16.935446,0.22661494,18
910,24,0.589,Brake,10.615242,0.43353048,6
910,24,0.596,Acceleration,11.632746,0.23643397,6
910,24,0.652,Acceleration,11.632746,0.28680876,18
910,25,0.368,Brake,22.311121,0.5513492,12
910,25,0.324,Brake,21.813871,0.36536828,10
910,26,1.555,Acceleration,20.966202,0.19831912,18
910,27,0.196,Acceleration,18.353333,0.47450802,11
910,29,0.535,Acceleration,11.343334,0.38681242,6
1010,1,0.765,Brake,26.163336,0.22331771,7
1010,19,1.861,Acceleration,32.233376,0.1787271,5
1010,19,2.322,Brake,31.005827,0.19839312,14
1010,21,1.428,Acceleration,32.686203,0.22247979,5
1010,25,0.49,Acceleration,29.053333,0.19644023,5
1110,1,1.319,Acceleration,21.743334,0.21288955,7
1110,3,0.291,Brake,31.834797,0.20024374,5
1110,4,1.364,Brake,30.415283,0.226777,9
1110,6,1.511,Brake,28.323103,0.23435475,14
1110,8,0.116,Acceleration,34.177254,0.1453466,4
1110,13,1.753,Brake,28.920326,0.23598345,14
1110,14,0.994,Acceleration,32.94615,0.15945083,3
1110,14,1.365,Acceleration,24.873335,0.3038754,4
1110,18,1.583,Brake,20.687714,0.2568104,2
1110,24,1.494,Brake,31.943289,0.20987672,14
1110,27,1.502,Brake,29.681988,0.24415128,14
1110,28,1.56,Brake,17.912891,0.577046,5
1110,30,0.931,Brake,23.120405,0.5014883,6
1110,30,0.931,Brake,28.642721,0.4488852,7
1110,30,1.07,Acceleration,22.668245,0.264935,8
1110,30,1.336,Acceleration,26.490652,0.33967358,18
1110,30,0.995,Brake,21.671894,0.45490113,14
1110,30,1.943,Acceleration,29.771843,0.17482015,6
1210,1,2.625,Acceleration,24.581694,0.29458234,8
1210,1,2.625,Acceleration,24.581694,0.22814094,3
1210,12,2.962,Brake,12.793975,0.5875459,10
1210,12,2.962,Brake,32.688828,0.64281344,14
1210,13,1.957,Brake,33.70333,0.2182194,13
1210,14,2.376,Brake,31.453335,0.26716593,9
1210,14,2.835,Brake,23.563334,0.30591506,14
1210,14,2.835,Brake,22.483335,0.44187704,6
1210,14,2.706,Brake,25.453335,0.46804976,14
1210,14,2.706,Brake,30.210865,0.43470955,14
1210,15,0.079,Brake,27.134684,0.19897467,9
1210,15,2.734,Brake,34.76871,0.30688462,14
1210,15,2.66,Brake,24.568426,0.4301992,14
1210,16,2.632,Brake,32.716927,0.36118987,14
1210,19,2.415,Brake,26.317081,0.23642592,14
1210,20,2.806,Acceleration,2.9350848,0.2846076,2
1210,20,2.377,Brake,29.826056,0.51064837,14
1210,21,2.304,Brake,23.103334,0.3925908,14
1210,22,2.304,Brake,22.693335,0.42658123,14
1210,22,2.35,Brake,32.31196,0.5069799,14
1210,22,2.331,Acceleration,0.95000005,0.23565479,5
1210,25,1.957,Brake,24.880545,0.46487918,14
1210,26,1.876,Brake,27.252129,0.58753276,14
1210,26,1.831,Brake,27.383333,0.5730806,14
1210,27,1.84,Brake,16.413334,0.5730806,12
1210,27,0.334,Brake,28.975986,0.23491138,10
1210,28,1.675,Brake,28.133333,0.29911676,14
1210,28,1.784,Brake,26.08432,0.3044184,14
1210,29,2.623,Acceleration,5.6100006,0.25186995,4
1210,30,2.97,Acceleration,11.917036,0.2872748,6
1210,30,2.769,Acceleration,2.358456,0.30476493,5
1310,9,2.257,Brake,33.70333,0.2182194,13
1310,10,2.676,Brake,31.453335,0.26716593,9
1310,11,0.379,Brake,27.134684,0.19897467,9
1310,11,2.96,Brake,24.568426,0.4301992,14
1310,12,2.932,Brake,32.716927,0.36118987,14
1310,15,2.715,Brake,26.317081,0.23642592,14
1310,16,2.677,Brake,29.826056,0.51064837,14
1310,17,2.604,Brake,23.103334,0.3925908,14
1310,18,2.604,Brake,22.693335,0.42658123,14
1310,18,2.65,Brake,32.31196,0.5069799,14
1310,18,2.631,Acceleration,0.95000005,0.23565479,5
1310,21,2.257,Brake,24.880545,0.46487918,14
1310,22,2.176,Brake,27.252129,0.58753276,14
1310,22,2.131,Brake,27.383333,0.5730806,14
1310,23,2.14,Brake,16.413334,0.5730806,12
1310,23,0.634,Brake,28.975986,0.23491138,10
1310,24,1.975,Brake,28.133333,0.29911676,14
